study,dataset,version,variable,label,label_de,case_sensitive_name,categories,categories_de
soep-is,bio,2015,l0052,Persons Abroad Bring To Germany,Personen gern nach Dt. holen?,,,
soep-is,bio,2015,l0053,Return To Country Of Origin,Rückkehr in Herkunftsland,,,
soep-is,bio,2015,l0054,Also German Pupils In Class,Auch dt. Schüler in Schulklasse?,,,
soep-is,bio,2015,l0055,How Many Pupils Foreign,Wieviele der Mitschüler Ausländer?,,,
soep-is,bio,2015,l0056,Mix Of Nationalities In Class,Eine oder mehrere Nationalitäten,,,
soep-is,bio,2015,l0058,Main Residence During Childhood,Ort der Kindheit,,,
soep-is,bio,2015,l0059,Change of Residence Since Childhood,Leben am Ort der Kindheit,,,
soep-is,bio,2015,l0060,Grown Up With Parents,Bei Eltern aufgewachsen?,,,
soep-is,bio,2015,l0064,Twin sister/brother,"Zwillingsschwester, -bruder",,,
soep-is,bio,2015,l0075,Year Moved Out Of Parents Home,Auszug elterl.Wohnung Jahr,,,
soep-is,bio,2015,l0076,Still Lives With Parents,Noch elterl.Haushalt,,,
soep-is,bio,2015,l0078,Where Does Father Live,wo lebt der Vater,,,
soep-is,bio,2015,l0079,Where Does Mother Live,wo lebt die Mutter,,,
soep-is,bio,2015,l0080,What Year Did Father Die,Todesjahr Vater,,,
soep-is,bio,2015,l0081,What Year Did Mother Die,Todesjahr Mutter,,,
soep-is,bio,2015,l0082,Birth Year Of Father,Geburtsjahr Vater,,,
soep-is,bio,2015,l0083,Birth Year Of Mother,Geburtsjahr Mutter,,,
soep-is,bio,2015,l0092,Father: Apprenticeship Industry Or Agriculture,Ausb. Vater: Gewerbliche Lehre,,,
soep-is,bio,2015,l0093,Father: Commercial Or Business Apprenticeship,Ausb. Vater: Kaufmännische Lehre,,,
soep-is,bio,2015,l0094,Father: Trade Or Technical School,Ausb. Vater: Fachschule,,,
soep-is,bio,2015,l0095,Father: Civil Servant Training,Ausb. Vater: Beamtenausbildung,,,
soep-is,bio,2015,l0096,"Father: Fachhochschule, Engineering School",Ausb. Vater: Fachschule,,,
soep-is,bio,2015,l0097,"Father: University, Higher Education Institution",Ausb. Vater: Universität,,,
soep-is,bio,2015,l0098,Father: Other Degree,Ausb. Vater: Sonstige Ausbildung,,,
soep-is,bio,2015,l0099,Father: No Degree,Ausb. Vater: Keine abgeschl. Ausb.,,,
soep-is,bio,2015,l0100,Father: Do Not Know,Ausb. Vater: Weiss nicht,,,
soep-is,bio,2015,l0101,Mother: Apprenticeship Industry Or Agriculture,Ausb. Mutter: Gewerbliche Lehre,,,
soep-is,bio,2015,l0102,Mother: Commercial Or Business Apprenticeship,Ausb. Mutter: Kaufmännische Lehre,,,
soep-is,bio,2015,l0103,Mother: Trade Or Technical School,Ausb. Mutter: Fachschule,,,
soep-is,bio,2015,l0104,Mother: Civil Servant Training,Ausb. Mutter: Beamtenausbildung,,,
soep-is,bio,2015,l0105,"Mother: Fachhochschule, Engineering School",Ausb. Mutter: Fachschule,,,
soep-is,bio,2015,l0106,"Mother: University, Higher Education Institution",Ausb. Mutter: Universität,,,
soep-is,bio,2015,l0107,Mother: Other Degree,Ausb. Mutter: Sonstige Ausbildung,,,
soep-is,bio,2015,l0108,Mother: No Degree,Ausb. Mutter: Keine abgeschl. Ausb.,,,
soep-is,bio,2015,l0109,Mother: Do Not Know,Ausb. Mutter: Weiss nicht,,,
soep-is,bio,2015,l0110,"Father: Completed Occupational Training, Studies","Vater berufl. Ausb., Studium abgeschl.",,,
soep-is,bio,2015,l0111,"Mother: Completed Occupational Training, Studies","Mutter berufl. Ausb., Studium abgeschl.",,,
soep-is,bio,2015,l0124,Father: Religion,Vater: Religion/ Konfession,,,
soep-is,bio,2015,l0125,Mother: Religion,Mutter: Religion/ Konfession,,,
soep-is,bio,2015,l0126,Father: Protestant Church,Vater-evang.Kirche,,,
soep-is,bio,2015,l0127,Mother: Protestant Church,Mutter-evang.Kirche,,,
soep-is,bio,2015,l0128,Father: Other Christian Community,Vater-anderen christl. Gemeinsch.,,,
soep-is,bio,2015,l0129,Mother: Other Christian Community,Mutter-anderen christl. Gemeinsch.,,,
soep-is,bio,2015,l0130,Father: Other Religious Community,Vater-sonst.Religionsgemeinschaft,,,
soep-is,bio,2015,l0131,Mother: Other Religious Community,Mutter-sonst.Religionsgemeinschaft,,,
soep-is,bio,2015,l0132,Father: Religion,Vater-Konfession,,,
soep-is,bio,2015,l0133,Mother: Religion,Mutter-Konfession,,,
soep-is,bio,2015,l0134,Father In Household,Vater im Haushalt,,,
soep-is,bio,2015,l0135,Where Did Father Live Back Then,Wo lebte der Vater damals,,,
soep-is,bio,2015,l0136,Type Of Blue-Collar Worker,Art Arbeiter,,,
soep-is,bio,2015,l0137,Type Of  Self-Employment,Art Selbständigkeit,,,
soep-is,bio,2015,l0138,Not Employed,Art Nichterwerbstätigkeit,,,
soep-is,bio,2015,l0139,Type Of White-Collar Worker,Art Angestellter,,,
soep-is,bio,2015,l0140,Type Of Civil Servant,Art Beamter,,,
soep-is,bio,2015,l0141,Job Title Is Unknown,Berufsbezeichnung unbekannt,,,
soep-is,bio,2015,l0142,Parents Show Interest In Performance,Eltern kümmerten sich um Leistg,,,
soep-is,bio,2015,l0143,Grade German,Note Deutsch,,,
soep-is,bio,2015,l0144,Grade Mathematics,Note Mathe,,,
soep-is,bio,2015,l0145,Grade 1. Foreign Langauge,Note 1. Fremdspr.,,,
soep-is,bio,2015,l0146,Last Number Of Grade Points: German,Letzte Punktzahl Deutsch,,,
soep-is,bio,2015,l0147,Last Number Of Grade Points: Mathematics,Letzte Punktzahl Mathematik,,,
soep-is,bio,2015,l0148,Last Numer Of Grade Points: 1. Foreign Language,Letzte Punktzahl 1. Fremdspr.,,,
soep-is,bio,2015,l0149,Level Comprehensive School: German,Niveau Gesamtschule Deutsch,,,
soep-is,bio,2015,l0150,Level Comprehensive School: Mathamatics,Niveau Gesamtschule Mathematik,,,
soep-is,bio,2015,l0151,Level Comprehensive School: 1. Foreign Language,Niveau Gesamtschule 1. Fremdspr.,,,
soep-is,bio,2015,l0152,Type Of Course In High School: German,Kursart gymnasiale Oberstufe Deutsch,,,
soep-is,bio,2015,l0153,Type of Course In High School: Mathamatics,Kursart gymnasiale Oberstufe Mathematik,,,
soep-is,bio,2015,l0154,Type of course In High School: 1. Foreign Language,Kursart gymnasiale Oberstufe 1. Fremdspr.,,,
soep-is,bio,2015,l0155,Argue Or Fight With Father,Streit mit Vater,,,
soep-is,bio,2015,l0156,Argue Or Fight With Mother,Streit mit Mutter,,,
soep-is,bio,2015,l0157,Active In Music During Youth,Aktives Musizieren in Jugend,,,
soep-is,bio,2015,l0158,Sports Played During Youth,Sportarten ausüben in Jugend,,,
soep-is,bio,2015,l0160,Most Important Sport During Youth,"Wichtigste Sportart in Jugend, Codes",,,
soep-is,bio,2015,l0161,Took Part In Competitions In This Sport,Wettkämpfe 1. Sportart in Jugend,,,
soep-is,bio,2015,l0162,15 Years Old (Year),Zeitpunkt 15 Jahre alt (Jahr),,,
soep-is,bio,2015,l0163,20 Years Old (Year),Zeitpunkt 20 Jahre alt (Jahr),,,
soep-is,bio,2015,l0164,25 Years Old (Year),Zeitpunkt 25 Jahre alt (Jahr),,,
soep-is,bio,2015,l0165,30 Years Old (Year),Zeitpunkt 30 Jahre alt (Jahr),,,
soep-is,bio,2015,l0166,35 Years Old (Year),Zeitpunkt 35 Jahre alt (Jahr),,,
soep-is,bio,2015,l0167,40 Years Old (Year),Zeitpunkt 40 Jahre alt (Jahr),,,
soep-is,bio,2015,l0168,45 Years Old (Year),Zeitpunkt 45 Jahre alt (Jahr),,,
soep-is,bio,2015,l0169,50 Years Old (Year),Zeitpunkt 50 Jahre alt (Jahr),,,
soep-is,bio,2015,l0170,55 Years Old (Year),Zeitpunkt 55 Jahre alt (Jahr),,,
soep-is,bio,2015,l0171,60 Years Old (Year),Zeitpunkt 60 Jahre alt (Jahr),,,
soep-is,bio,2015,l0172,65 Years Old (Year),Zeitpunkt 65 Jahre alt (Jahr),,,
soep-is,bio,2015,l0184,FRG School Completed,Schulabschluss BRD,,,
soep-is,bio,2015,l0185,GDR School Completed,Schulabschluss DDR,,,
soep-is,bio,2015,l0187,Duration Schooling (Years),Dauer Schulbesuch (in Jahren),,,
soep-is,bio,2015,l0190,Federal State School,Letzter Schulbesuch in Bundesland,,,
soep-is,bio,2015,l0194,How Many Pupils Foreign,Anzahl: Ausländische Mitschüler,,,
soep-is,bio,2015,l0195,"Formal Training Certificate, Uni. Degree",In Zukunft ein Schulabschluss angestrebt,,,
soep-is,bio,2015,l0196,Type Of Further School-Leaving Qualification,Welcher  Schulabschluss in Zukunft angestrebt,,,
soep-is,bio,2015,l0198,Apprenticeship Industry Or Agriculture,Gewerbliche oder landwirtschaftliche Lehre,,,
soep-is,bio,2015,l0199,Commercial Or Business Apprenticeship,Kaufmännische oder sonstige Lehre,,,
soep-is,bio,2015,l0200,BRD: Specialized Vocational School,"BRD:Berufsfachsch., Handelss.",,,
soep-is,bio,2015,l0201,BRD: School For Health Care Profession,BRD:Schule des Gesundheitswesens,,,
soep-is,bio,2015,l0202,BRD: Trade Or Technical School,BRD:Fachschule,,,
soep-is,bio,2015,l0203,BRD:  Civil Servant Training,BRD:Beamtenausbildung,,,
soep-is,bio,2015,l0204,"BRD: Specialized Technical, Engineering School","BRD:Fachhochschule,Ingenieurschule",,,
soep-is,bio,2015,l0205,"BRD: University, College","BRD:Universität,Hochschule",,,
soep-is,bio,2015,l0206,BRD: Other Type of Education Completed,BRD:Sonstiger Ausbildungsabschluss,,,
soep-is,bio,2015,l0207,"GDR: Vocational,Specialist Training Completed","DDR:Berufsausbildung, Facharbeiter",,,
soep-is,bio,2015,l0208,GDR: Master Craftsman Degree,DDR:Meisterabschluss,,,
soep-is,bio,2015,l0209,"GDR: Specialized Technical,Engineering School",DDR:Ingenieur- und Fachschulabschluss,,,
soep-is,bio,2015,l0210,"GDR: University, College","DDR:Hochschul-,Universitätsabschluss",,,
soep-is,bio,2015,l0211,GDR: Other Type Of Education Completed,DDR:Sonstiger Ausbildungsabschluss,,,
soep-is,bio,2015,l0226,Total Item-Nonresponse,Ausbildungs- oder Studienabschluss: Gesamt k.A.,,,
soep-is,bio,2015,l0227,"Year Of Last Completed Education, Vocational Training","Jahr letzter Ausbildungs-, Studienabschluss",,,
soep-is,bio,2015,l0228,Vocational Training Outside Germany,Ausbildung ausserhalb Deutschlands,,,
soep-is,bio,2015,l0229,"Type Of Education,Training: Trained In Company",Art der Ausbildung: im Betrieb angelernt,,,
soep-is,bio,2015,l0230,"Type Of Education,Training: Long Term Vocational Training",Art der Ausbildung: längere Ausbildung,,,
soep-is,bio,2015,l0231,"Type Of Education,Training: Vocational School",Art der Ausbildung: berufsbildende Schule,,,
soep-is,bio,2015,l0232,"Type Of Education,Training: University, College",Art der Ausbildung: Hochschule,,,
soep-is,bio,2015,l0233,"Type Of Education,Training: Other",Art der Ausbildung: sonstiges,,,
soep-is,bio,2015,l0234,Total Item-Nonresponse,Gesamt k.A.,,,
soep-is,bio,2015,l0235,Education Completed (Year),Jahr des Ausbildungsabschlusses,,,
soep-is,bio,2015,l0236,Certificate For Voc. Degree Completed,Zeugnis Ausbildung,,,
soep-is,bio,2015,l0237,Certificate Accepted,Anerkennung Abschluss,,,
soep-is,bio,2015,l0238,Intending to Get Further Degree,In Zukunft beruflichen Abschluss angestrebt,,,
soep-is,bio,2015,l0239,Completed Apprenticeship,Abschluss einer Lehre,,,
soep-is,bio,2015,l0240,Full-time Vocational School,Berufsfachschule,,,
soep-is,bio,2015,l0241,Higher Level Trade And Technical School,"Fachschule, Meister-, Technikerschule",,,
soep-is,bio,2015,l0242,Civil Servant Education,Beamtenausbildung,,,
soep-is,bio,2015,l0243,Accredited Career Training Academy,Anerkannte Berufsakademie,,,
soep-is,bio,2015,l0244,Engineering School,Fachhochschule,,,
soep-is,bio,2015,l0245,University,Universität,,,
soep-is,bio,2015,l0246,Total Item-Nonresponse,Gesamt k.A.,,,
soep-is,bio,2015,l0247,Age When Went To Work,Berufsbeginn: Alter,,,
soep-is,bio,2015,l0249,Still With First Employer,heute noch beim ersten Arbeitgeber,,,
soep-is,bio,2015,l0250,Type Of Blue-Collar Worker,Art Arbeiter,,,
soep-is,bio,2015,l0251,Type Of Self-Employment,Art Selbstständige,,,
soep-is,bio,2015,l0252,Self-Employed Farmer,selbst. Landwirte,,,
soep-is,bio,2015,l0253,"Profession, Self-Employed Academic","freier Beruf, selbst. Akademiker",,,
soep-is,bio,2015,l0254,Other Type Of Self-Employment,sonst. Selbstständige,,,
soep-is,bio,2015,l0255,Family Workers,mithelfende Familienangehörige,,,
soep-is,bio,2015,l0256,Type Of White-Collar Worker,Art Angestellte,,,
soep-is,bio,2015,l0257,Type Of Civil Servant,Art Beamte,,,
soep-is,bio,2015,l0258,Total Item-Nonresponse,Gesamt k.A.,,,
soep-is,bio,2015,l0260,Required Training For Job,erforderliche Ausbildung für Tätigkeit,,,
soep-is,bio,2015,l0261,"Civil Service, Public Administration","öffentlicher Dienst, Staatsverwaltung",,,
soep-is,bio,2015,l0263,Job Change,Berufswechsel,,,
soep-is,bio,2015,l0264,"Job Change, Year",Jahr des Berufswechsels,,,
soep-is,bio,2015,l0265,Now Employed,derzeit erwerbstätig,,,
soep-is,bio,2015,l0270,Last Type Of Employee,zuletzt Art Arbeiter,,,
soep-is,bio,2015,l0271,Last Type Of Self-Employment,zuletzt Art Selbständiger,,,
soep-is,bio,2015,l0272,Last Employment: Self-Employed Farmer,zuletzt selbst. Landwirte,,,
soep-is,bio,2015,l0273,"Last Employment: Profession, Self-Employed Academic","zuletzt freier Beruf, selbst. Akademiker",,,
soep-is,bio,2015,l0274,Last Employment: Other Self-Employment,zuletzt sonst. Selbständige,,,
soep-is,bio,2015,l0275,Last Employment: Familiy Worker,zuletzt mithelfende Familienangehörige,,,
soep-is,bio,2015,l0276,"Last: In Education, Training","zuletzt Azubi, Praktikant",,,
soep-is,bio,2015,l0277,Last: White Collarl Worker,zuletzt Art Angestellte,,,
soep-is,bio,2015,l0278,Last: Civil Servant,zuletzt Art Beamte,,,
soep-is,bio,2015,l0279,Total Item-Nonresponse,Gesamt k.A.,,,
soep-is,bio,2015,l0280,Year Moved Into Dwelling,Jahr Einzug Wohnung,,,
soep-is,bio,2015,l0282,"Westgerm., Eastgerm, Foreign Country","West-, Ostdeutschland, Ausland?",,,
soep-is,bio,2015,l0284,Home At Place Of Work,Wohnung am Arbeitsort,,,
soep-is,bio,2015,l0311,Marital Status,Familienstand,,,
soep-is,bio,2015,l0312,Beginning Marriage 1,Beginn Ehe  1,,,
soep-is,bio,2015,l0313,Marriage Status (1),Status Ehe 1,,,
soep-is,bio,2015,l0314,Marrriage 1 ended,Ende Ehe 1,,,
soep-is,bio,2015,l0315,Beginning Marriage 2,Beginn Ehe  2,,,
soep-is,bio,2015,l0316,Marriage Status (2),Status Ehe 2,,,
soep-is,bio,2015,l0317,Marrriage 2 ended,Ende Ehe 2,,,
soep-is,bio,2015,l0318,Beginning Marriage 3,Beginn Ehe  3,,,
soep-is,bio,2015,l0319,Marriage Status (3),Status Ehe 3,,,
soep-is,bio,2015,l0320,Marrriage 3 ended,Ende Ehe 3,,,
soep-is,bio,2015,l0321,Social Year,freiwilliges soziales Jahr,,,
soep-is,bio,2015,l0322,"Military, Community Service","Wehr-, Zivildienst geleistet",,,
soep-is,bio,2015,l0323,Type Of Service,Form des Dienstes,,,
soep-is,bio,2015,l0324,"No Milit., Comm. Serv/ Soc. Yr.: Reason",kein Dienst geleistet: Grund,,,
soep-is,bio,2015,l0325,Moved Into Dwelling (Year),Jahr Einzug Wohnung,,,
soep-is,bio,2015,l0326,Second Home,Zweitwohnung,,,
soep-is,bio,2015,l0327,"Westgerm., Eastgerm, Foreign Country",West-o.Ostdt. o. Ausland,,,
soep-is,bio,2015,l0328,Use Of Home,Wohnungsnutzung,,,
soep-is,bio,2015,l0329,Home At Place Of Work,Wohnung am Arbeitsort,,,
soep-is,bio,2015,l0330,Ever Inheritance Or Gift,jemals Erbschaft/ Schenkung?,,,
soep-is,bio,2015,l0331,Case 1: Year,Fall 1: welches Jahr?,,,
soep-is,bio,2015,l0332,Case 1: Inheritance Or Gift?,Fall 1: Erbschaft oder Schenkung?,,,
soep-is,bio,2015,l0333,"Case 1: House, Property, Condominium","Fall 1: Haus-, Grundbesitz, Eigentumswohnung",,,
soep-is,bio,2015,l0334,Case 1: Securities/Stocks,Fall 1: Wertpapiere,,,
soep-is,bio,2015,l0335,"Case 1: Cash, Bank Deposits","Fall 1: Bargeld, Bankguthaben",,,
soep-is,bio,2015,l0336,"Case 1: Shares, Company Ownership","Fall 1: Unternehmensbesitz, -beteiligung",,,
soep-is,bio,2015,l0337,Case 1:  Other Wealth Or Gift,Fall 1: sonst. Vermögenswerte,,,
soep-is,bio,2015,l0338,Case 1: Value At The Time,Fall 1: damaliger Wert,,,
soep-is,bio,2015,l0339,"Case 1: Value, Do Not Know","Fall 1: Wert, weiss nicht",,,
soep-is,bio,2015,l0340,Case 1: By Whom?,Fall 1: von wem?,,,
soep-is,bio,2015,l0341,Case 2: Year,Fall 2: welches Jahr?,,,
soep-is,bio,2015,l0342,Case 2: Inheritance Or Gift?,Fall 2: Erbschaft oder Schenkung?,,,
soep-is,bio,2015,l0343,"Case 2: House, Property, Condominium","Fall 2: Haus-, Grundbesitz, Eigentumswohnung",,,
soep-is,bio,2015,l0344,Case 2: Securities/Stocks,Fall 2: Wertpapiere,,,
soep-is,bio,2015,l0345,"Case 2: Cash, Bank Deposits","Fall 2: Bargeld, Bankguthaben",,,
soep-is,bio,2015,l0346,"Case 2: Shares, Company Ownership","Fall 2: Unternehmensbesitz, -beteiligung",,,
soep-is,bio,2015,l0347,Case 2:  Other Wealth Or Gift,Fall 2: sonst. Vermögenswerte,,,
soep-is,bio,2015,l0348,Case 2: Value At The Time,Fall 2: damaliger Wert,,,
soep-is,bio,2015,l0349,"Case 2: Value, Do Not Know","Fall 2: Wert, weiss nicht",,,
soep-is,bio,2015,l0350,Case 2: By Whom?,Fall 2: von wem?,,,
soep-is,bio,2015,l0351,Case 3: Year,Fall 3: welches Jahr?,,,
soep-is,bio,2015,l0352,Case 3: Inheritance Or Gift?,Fall 3: Erbschaft oder Schenkung?,,,
soep-is,bio,2015,l0353,"Case 3: House, Property, Condominium","Fall 3: Haus-, Grundbesitz, Eigentumswohnung",,,
soep-is,bio,2015,l0354,Case 3: Securities/Stocks,Fall 3: Wertpapiere,,,
soep-is,bio,2015,l0355,"Case 3: Cash, Bank Deposits","Fall 3: Bargeld, Bankguthaben",,,
soep-is,bio,2015,l0356,"Case 3: Shares, Company Ownership","Fall 3: Unternehmensbesitz, -beteiligung",,,
soep-is,bio,2015,l0357,Case 3:  Other Wealth Or Gift,Fall 3: sonst. Vermögenswerte,,,
soep-is,bio,2015,l0358,Case 3: Value At The Time,Fall 3: damaliger Wert,,,
soep-is,bio,2015,l0359,"Case 3: Value, Do Not Know","Fall 3: Wert, weiss nicht",,,
soep-is,bio,2015,l0360,Case 3: By Whom?,Fall 3: von wem?,,,
soep-is,bio,2015,l0361,Future Inheritance Or Gift,Zukünftige Erbschaft/Schenkung?,,,
soep-is,bio,2015,l0362,Value Of Future Inheritance Or Gift,Wert über/unter 25.000 Euro,,,
soep-is,bio,2015,l0574,Doctorate,Promotion,,,
soep-is,bio,2015,l0575,"Vocational,Specialist Training Completed (Year)","Lehre, Facharbeiterabschluss: Jahr",,,
soep-is,bio,2015,l0576,Specialized Vocational School (Year),"Berufsfachschule., Handelsschule, Gesundheitswesen: Jahr",,,
soep-is,bio,2015,l0577,Trade Or Technical School (Year),Fachschule: Jahr,,,
soep-is,bio,2015,l0578,Civil Servant Education (Year),Beamtenausbildung: Jahr,,,
soep-is,bio,2015,l0579,"Engineering School, Career Training Academy (Year)","Fachhochschule, Berufsakademie: Jahr",,,
soep-is,bio,2015,l0580,"University,College (Year)","Universität, Hochschule: Jahr",,,
soep-is,bio,2015,l0581,Doctorate (Year),Promotion: Jahr,,,
soep-is,bio,2015,l0582,Other Type Of Education Completed (Year),sonstiger Ausbildungsabschluss: Jahr,,,
soep-is,bio,2015,l0584,Specialized Vocational School (Month),"Berufsfachschule., Handelsschule, Gesundheitswesen: Monat",,,
soep-is,bio,2015,l0585,Trade Or Technical School (Month),Fachschule: Monat,,,
soep-is,bio,2015,l0586,Civil Servant Education (Month),Beamtenausbildung: Monat,,,
soep-is,bio,2015,l0587,"Engineering School, Career Training Academy (Month)","Fachhochschule, Berufsakademie: Monat",,,
soep-is,bio,2015,l0588,"University,College (Month)","Universität, Hochschule: Monat",,,
soep-is,bio,2015,l0589,Doctorate (Month),Promotion: Monat,,,
soep-is,bio,2015,l0590,Other Type Of Education Completed (Month),sonstiger Ausbildungsabschluss: Monat,,,
soep-is,bio,2015,l0600,Twin Sister/Brother: Identical,Zwillingsgeschwister: Eineiig,,,
soep-is,bio,2015,l0601,Twin Sister: Non-Identical,Zwillingsgeschwister: Zweieiige Schwester,,,
soep-is,bio,2015,l0602,Twin Brother: Non-Identical,Zwillingsgeschwister: Zweieiiger Bruder,,,
soep-is,bio,2015,l0603,No Twin Sister/Brother,Keine Zwillingsgeschwister,,,
soep-is,bio,2015,l0604,Father Lives In The Same Place,Vater lebt hier am selben Ort,,,
soep-is,bio,2015,l0605,Mother Lives In The Same Place,Mutter lebt hier am selben Ort,,,
soep-is,bio,2015,l0606,Father Lives In A Different Place,Vater lebt an entfernten Ort,,,
